@relation 'MOA: -C 5'

@attribute class0 {0, 1}
@attribute class1 {0, 1}
@attribute class2 {0, 1}
@attribute class3 {0, 1}
@attribute class4 {0, 1}
@attribute att0 numeric
@attribute att1 numeric

@data
1,0,0,0,0,0.3959630163828629,0.47219976536509733
0,1,0,0,0,0.7978549870467628,0.8674895223598194
1,0,0,0,0,0.5195067142705903,0.6289445476675456
1,0,0,0,0,0.37340510246506625,0.538598046028127
1,0,0,0,0,0.4903895822725757,0.613180805508496
1,0,0,0,0,0.5117728680737964,0.6469131745993542
0,1,1,0,0,0.7016648654327259,0.6166292020751324
0,1,0,0,0,0.8822650909389234,0.9027703919386626
1,0,0,0,0,0.45581885868988353,0.5866387115613875
0,0,1,0,0,0.7769573115829737,0.5170835831932658
1,0,0,0,0,0.4998882514199137,0.535755147756133
1,0,0,0,0,0.5045527294489718,0.6379574990056766
0,1,1,0,0,0.8452728046256232,0.6667224654119691
1,0,0,0,0,0.5303647650644885,0.6300429602300098
0,0,1,0,0,0.7479063753184095,0.5130532764604445
0,1,1,0,0,0.7089833973538457,0.5832549717247418
0,0,1,0,0,0.7640280160034967,0.5055028167248821
0,1,1,0,0,0.9090862537356663,0.6386339245893139
0,1,1,0,0,0.7372647348847053,0.6133871062388727
1,0,0,0,0,0.4828412556965978,0.6217890958458313
0,0,1,0,0,0.7472510530576731,0.5032778116471814
1,0,0,0,0,0.4614357008429615,0.6119964357852256
0,1,1,0,0,0.8198175642216994,0.6473170787523214
1,0,0,0,0,0.38650289035224206,0.4904981717991327
0,1,1,0,0,0.776441793936815,0.7463864470999394
0,1,1,0,0,0.7647253109029045,0.6406776560535355
1,0,0,0,0,0.37026417734093203,0.5625234696928102
0,1,0,0,0,0.947874054992239,0.760911141306717
1,0,0,0,0,0.489683153887973,0.6489738389464335
0,1,1,0,0,0.7713142187965566,0.5753592598317062
0,1,1,0,0,0.7276961915720027,0.8060272042583028
0,1,1,0,0,0.7191233326096661,0.5779010740816619
1,0,0,0,0,0.4573873272342926,0.5528677555694739
1,0,0,0,0,0.39782654047236116,0.6494518082014378
1,0,0,0,0,0.5509269861024494,0.5748143284136972
0,1,1,0,0,0.7819364470204667,0.665273033592319
1,0,0,0,0,0.4931838596019303,0.6288259412865808
0,1,1,0,0,0.7297939049458828,0.594524674195854
0,1,0,0,0,0.8961410289619524,0.8055941189400326
0,1,0,0,0,0.9501827039017766,0.7654668836780617
0,1,1,0,0,0.7603481668112126,0.6242055423922436
1,0,0,0,0,0.4429545552692801,0.7207164934672156
0,1,1,0,0,0.7478632300221462,0.6241842898217733
1,1,1,0,0,0.6317400527550429,0.619622961160651
0,1,1,0,0,0.7986898018519238,0.618976530874417
1,0,1,0,0,0.5947047064592867,0.6362358004277815
1,0,0,0,0,0.4932479115791229,0.5171745588207943
1,0,0,0,0,0.5051920220873573,0.4976616227335989
1,0,0,0,0,0.5298628041000941,0.5750965477936554
1,0,0,0,0,0.46076541463564674,0.7147278137581096
1,0,0,0,0,0.453892163510052,0.6399354369019455
0,1,0,0,0,0.8987290941810787,0.8382844101804904
1,0,1,0,0,0.6638759158549852,0.564821753106269
0,1,0,0,0,0.7335976133094616,0.9157191993426539
0,1,1,0,0,0.9094288574348974,0.602181450130364
1,0,1,0,0,0.5668336306510503,0.5824775431838495
1,0,0,0,0,0.45522619345289617,0.5490021835126728
1,0,0,0,0,0.5030969911937837,0.6141839738050417
1,1,1,0,0,0.6159380492775941,0.6170627956194503
1,1,1,0,0,0.6567938485713396,0.5999137874607473
0,1,1,0,0,0.7909348738916379,0.7527339015434529
1,0,0,0,0,0.3757652714769717,0.4954323749988262
1,0,1,0,0,0.5904711738927196,0.6266726897961211
1,1,1,0,0,0.6497766903086237,0.619527246602568
0,1,1,0,0,0.7516930385374396,0.6163787704201181
0,1,1,0,0,0.762569718627268,0.7173985229935755
0,1,1,0,0,0.7837501858422152,0.7165788863384119
0,1,1,0,0,0.7416208967758587,0.7447535820091826
0,1,1,0,0,0.7399802437979169,0.5853495423279851
0,1,1,0,0,0.9064043522359883,0.71170694826357
1,0,0,0,0,0.4505656746270148,0.5962521332697929
0,1,1,0,0,0.73785635595812,0.6811479681446014
1,0,0,0,0,0.3757341029036126,0.647969592595838
0,1,1,0,0,0.8707601170226346,0.641275845522451
0,1,1,0,0,0.7158281560878293,0.7415786527101837
0,1,0,0,0,0.9376541955516651,0.8162483648573043
0,1,1,0,0,0.7625114459945486,0.5559043241698027
0,1,1,0,0,0.8611238353552857,0.5896645687382752
0,1,1,0,0,0.7792498902020984,0.6088172491342624
1,0,1,0,0,0.5619630702569488,0.6253051266940015
1,1,1,0,0,0.6034201868548958,0.6890273795875853
1,0,0,0,0,0.5281732425638794,0.6192093894240658
1,0,0,0,0,0.38681323723844463,0.4721346831648281
0,1,1,0,0,0.6775130867575322,0.7859116336740617
0,1,1,0,0,0.6902016689274786,0.7552104658210622
1,0,0,0,0,0.48299803757024434,0.6402458164632864
0,1,0,0,0,0.6880413201733889,0.9161207354573581
1,0,0,0,0,0.5105026804039342,0.7247248559068828
1,1,1,0,0,0.6612449317670442,0.6814128341698356
0,1,1,0,0,0.7154888179397428,0.6950012308859593
0,1,1,0,0,0.7539492578473642,0.6667045021443997
1,1,1,0,0,0.6286062352963963,0.7145045303834473
1,0,0,0,0,0.5066946791825133,0.6241142649825951
1,0,1,0,0,0.5771068905490775,0.6533658575425371
0,1,0,0,0,0.8853178412348595,0.8815922145536343
0,1,1,0,0,0.8546036458700206,0.6168939108553596
1,0,0,0,0,0.5248583498063116,0.6919443611360723
0,0,1,0,0,0.7937098698652856,0.5289660247075196
0,1,1,0,0,0.7197245062995694,0.6028233954033168
0,1,0,0,0,0.7789169466147291,0.8324394763726257
0,1,0,0,0,0.7215200466156032,0.9194793073064235
0,1,0,0,0,0.8226482667322225,0.8637024651589484
1,0,0,0,0,0.4318176660364745,0.4805793000421076
1,1,1,0,0,0.6017079389465133,0.6957737508980499
1,0,1,0,0,0.6049438529302552,0.5324928749783028
0,1,1,0,0,0.7625290170904533,0.7400597608150445
1,0,0,0,0,0.5188482315764193,0.5743277379413638
0,1,1,0,0,0.8347689770970885,0.6571211276978567
0,1,1,0,0,0.7791918503839096,0.5836707089347115
1,0,0,0,0,0.5003961163016178,0.6011836258775103
0,1,1,0,0,0.9332948957511702,0.6287118799378292
0,1,1,0,0,0.7418351917981534,0.5598113313479737
0,1,1,0,0,0.7512859761144578,0.7548254813397609
0,1,1,0,0,0.8521056127791922,0.6780493824146189
0,1,0,0,0,0.9533160737418973,0.7929882772229631
0,1,0,0,0,0.8545583238807907,0.8114517635650577
1,0,0,0,0,0.5290736624067082,0.6310714860022524
1,0,0,0,0,0.367609430303363,0.6655651856884907
0,1,1,0,0,0.7681797679355218,0.7432004314990702
1,0,0,0,0,0.5468797476398355,0.8080215498771084
1,0,0,0,0,0.4975431149514408,0.6392851160408015
0,1,1,0,0,0.7952249432435576,0.598638624041011
0,1,1,0,0,0.7302769787169172,0.7831607415987135
1,0,0,0,0,0.36953651043085534,0.7721192199357135
1,0,0,0,0,0.5472883888647773,0.7337725947164091
1,1,1,0,0,0.6565741787425289,0.6293525565956628
1,0,0,0,0,0.2934994452613012,0.625934171897604
0,0,1,0,0,0.8003346302679519,0.4606253263173074
0,1,1,0,0,0.7939653125044701,0.6772554157126153
1,0,0,0,0,0.49121489683912506,0.6265826755271516
0,1,1,0,0,0.7442888257723232,0.7744250371085075
1,1,1,0,0,0.627938874963323,0.7719287834641992
0,1,1,0,0,0.770427414785277,0.7212581169782205
0,1,1,0,0,0.833402234840637,0.6146134889804589
0,1,1,0,0,0.8412649193079768,0.6338222001732385
1,0,0,0,0,0.5523588824290634,0.5206096247610545
0,1,1,0,0,0.7188632813144167,0.6977418934258575
1,0,0,0,0,0.417031071350146,0.6815037159089898
1,0,0,0,0,0.5035277455795257,0.6337038769173466
0,1,1,0,0,0.8715620236865664,0.6280548773079461
1,1,1,0,0,0.5889505049463527,0.697488853618631
0,1,1,0,0,0.6644357586059935,0.7503499171225629
1,0,0,0,0,0.4699895734965076,0.575374599163047
0,1,1,0,0,0.8191067332943205,0.6776760571813413
0,1,1,0,0,0.8169528902330647,0.7046565676408516
1,1,1,0,0,0.6041097558081212,0.7111536945116863
1,0,0,0,0,0.307745363636333,0.6921870487184537
0,1,1,0,0,0.8164854847606698,0.6755993267209872
0,1,1,0,0,0.7279554283266316,0.5828653462029781
1,0,0,0,0,0.44826385142936537,0.6087934862116902
